Feature,Importance
TNX_Momentum,0.07588816162863105
Return_5days,0.07027897786886599
VIX_SMA20_Ratio,0.06995912786057609
Price_VIX_Corr,0.06972232613106256
SMA_Cross_Ratio,0.06877418362680827
SMA200_LogDist,0.06856638804926343
Vol_Shock,0.068484092546034
VIX_Change_5d,0.06805799051796471
Vol_VIX_Divergence,0.06780034308623263
RSI,0.06692767707696773
BB_Position,0.06341061062447775
RSI_BB_Interaction,0.06277621798110125
Momentum_20,0.06025035670944009
Return_20days,0.05960574374328384
Dist_From_High,0.05949780254929061
