Feature,Importance
TNX_Momentum,0.07538040077699514
VIX_SMA20_Ratio,0.07021955790529495
Return_5days,0.07014634082333404
Price_VIX_Corr,0.07014551970953663
SMA200_LogDist,0.06938137965936124
Vol_VIX_Divergence,0.06905740955872995
Vol_Shock,0.06904758489662755
SMA_Cross_Ratio,0.06850796139493943
VIX_Change_5d,0.0681111713773402
RSI,0.06529791538158013
RSI_BB_Interaction,0.0633045049261796
BB_Position,0.06326554339331482
Return_20days,0.05964661686918728
Momentum_20,0.05938411763290357
Dist_From_High,0.059103975694675494
