Feature,Importance
TNX_Momentum,0.07528105153061461
Price_VIX_Corr,0.07034363877940512
Return_5days,0.07018974624022875
VIX_SMA20_Ratio,0.06976138254749328
SMA200_LogDist,0.06935914975305549
Vol_VIX_Divergence,0.06925397271970783
Vol_Shock,0.06893257674494117
SMA_Cross_Ratio,0.06841180400600869
VIX_Change_5d,0.06834793930304255
RSI,0.06561536246769976
RSI_BB_Interaction,0.06312654508697439
BB_Position,0.06310520856780333
Return_20days,0.059935594022524526
Momentum_20,0.059410466916292225
Dist_From_High,0.05892556131420811
